# IAZAHLN,IAZAHLF,AT0(3),FCOR(3),FCOR1(far),FCOR2(near), fcor2_1,fcor2_2
#  2160   61  1.00  1.00  1.00    1.39   1.41   1.39   1.64  0.842   1.00  1.00
# Table for near sidelobes (IAZAHLN rows)
# AP1,AP2,AT1,AT2 cell edges (phi_low, phi_high, radius_low, radius_high)
# also used to calculate solid angle
# Factor (only one column is used!): "Gain"
# AP1,AP2,AT1,AT2,AG //  IAZAHLN CARDS  FOR NEAR SIDELOBE REGION
 350.00 355.00   0.62   0.75    0.2931353760E+03    0.2931353760E+03
 355.00 360.00   0.62   0.75    0.5281249390E+03    0.5281249390E+03
   0.00   5.00   0.75   0.88    0.4301146850E+03    0.4301146850E+03
   5.00  10.00   0.75   0.88    0.1633808140E+03    0.1633808140E+03
  10.00  15.00   0.75   0.88    0.2334585190E+02    0.2334585190E+02
  15.00  20.00   0.75   0.88    0.5834172730E+01    0.5834172730E+01
  20.00  25.00   0.75   0.88    0.9753556250E+01    0.9753556250E+01
  25.00  30.00   0.75   0.88    0.5793205740E+01    0.5793205740E+01
  30.00  35.00   0.75   0.88    0.8527570370E+00    0.8527570370E+00
  35.00  40.00   0.75   0.88    0.1755714120E+00    0.1755714120E+00
  40.00  45.00   0.75   0.88    0.8782456070E-01    0.8782456070E-01
  45.00  50.00   0.75   0.88    0.9062468260E-01    0.9062468260E-01
  50.00  55.00   0.75   0.88    0.1755713670E+00    0.1755713670E+00
  55.00  60.00   0.75   0.88    0.8527570960E+00    0.8527570960E+00
  60.00  65.00   0.75   0.88    0.5793205740E+01    0.5793205740E+01
  65.00  70.00   0.75   0.88    0.9753556250E+01    0.9753556250E+01
  70.00  75.00   0.75   0.88    0.5834172730E+01    0.5834172730E+01
  75.00  80.00   0.75   0.88    0.2334585190E+02    0.2334585190E+02
  80.00  85.00   0.75   0.88    0.1633807980E+03    0.1633807980E+03
  85.00  90.00   0.75   0.88    0.4107786870E+03    0.4107786870E+03
  90.00  95.00   0.75   0.88    0.4301146850E+03    0.4301146850E+03
  95.00 100.00   0.75   0.88    0.1633807980E+03    0.1633807980E+03
 100.00 105.00   0.75   0.88    0.2334585000E+02    0.2334585000E+02
 105.00 110.00   0.75   0.88    0.5834171770E+01    0.5834171770E+01
 110.00 115.00   0.75   0.88    0.9753555300E+01    0.9753555300E+01
 115.00 120.00   0.75   0.88    0.5793205260E+01    0.5793205260E+01
 120.00 125.00   0.75   0.88    0.8527570370E+00    0.8527570370E+00
 125.00 130.00   0.75   0.88    0.1755712780E+00    0.1755712780E+00
 130.00 135.00   0.75   0.88    0.8782459800E-01    0.8782459800E-01
 135.00 140.00   0.75   0.88    0.9062471990E-01    0.9062471990E-01
 140.00 145.00   0.75   0.88    0.1755712330E+00    0.1755712330E+00
 145.00 150.00   0.75   0.88    0.8527571560E+00    0.8527571560E+00
 150.00 155.00   0.75   0.88    0.5793205740E+01    0.5793205740E+01
 155.00 160.00   0.75   0.88    0.9753555300E+01    0.9753555300E+01
 160.00 165.00   0.75   0.88    0.5834171300E+01    0.5834171300E+01
 165.00 170.00   0.75   0.88    0.2334584620E+02    0.2334584620E+02
 170.00 175.00   0.75   0.88    0.1633807980E+03    0.1633807980E+03
 175.00 180.00   0.75   0.88    0.4107786560E+03    0.4107786560E+03
 180.00 185.00   0.75   0.88    0.4301146550E+03    0.4301146550E+03
 185.00 190.00   0.75   0.88    0.1633807980E+03    0.1633807980E+03
 190.00 195.00   0.75   0.88    0.2334584620E+02    0.2334584620E+02
 195.00 200.00   0.75   0.88    0.5834170820E+01    0.5834170820E+01
